dept,course,instructor,abbrev_instructor
ABS,ABS201Y1,Jill Carter,"Carter, J."
ABS,ABS210Y1,Alex McKay,"McKay, A."
ABS,ABS352H1,Christine Sy,"Sy, C."
ABS,ABS205H1,Brenda Wastasecoot,"Wastasecoot, B."
ABS,ABS201Y1,Angela Mashford-Pringle,"Mashford-Pringle, A."
ABS,ABS205H1,Brenda Wastasecoot,"Wastasecoot, B."
ABS,ABS210Y1,Alex McKay,"McKay, A."
ABS,ABS220Y1,Dawn Antone,"Antone, D."
ABS,ABS300Y1,Lee Maracle,"Maracle, L."
ABS,ABS301Y1,Alex McKay,"McKay, A."
ABS,ABS322H1,Cheryl Suzack,"Suzack, C."
ABS,ABS352H1,Angela Mashford-Pringle,"Mashford-Pringle, A."
ABS,ABS402H1,Jill Carter,"Carter, J."
JFP,JFP450H1,David Burman,"Burman, D."
INS,INS250H1,Ryan DeCaire,"DeCaire, R."
INS,INS390H1,Melanie Jeffrey,"Jeffrey, M."
INS,INS200H1,Amos Key,"Key, A."
INS,INS322H1,Cheryl Suzack,"Suzack, C."
INS,INS261H1,Brenda Wastasecoot,"Wastasecoot, B."
INS,INS403H1,Brenda Wastasecoot,"Wastasecoot, B."
INS,INS201Y1,Heather Shpuniarsky,"Shpuniarsky, H."
INS,INS205H1,Brenda Wastasecoot,"Wastasecoot, B."
INS,INS210Y1,Alex McKay,"McKay, A."
INS,INS240Y1,Melanie Jeffrey,"Jeffrey, M."
INS,INS300Y1,Lee Maracle,"Maracle, L."
INS,INS331H1,Amos Key,"Key, A."
INS,INS350H1,Melanie Jeffrey,"Jeffrey, M."
INS,INS351Y1,Alex McKay,"McKay, A."
INS,INS352H1,Brenda Wastasecoot,"Wastasecoot, B."
INS,INS360Y1,Amos Key,"Key, A."
INS,INS205H1,Brenda Wastasecoot,"Wastasecoot, B."
INS,INS201Y1,Safia Gahayr,"Gahayr, S."
INS,INS201Y1,Verne Ross,"Ross, V."
ABS,ABS201Y1,Brenda Wastasecoot,"Wastasecoot, B."
ABS,ABS205H1,Brenda Wastasecoot,"Wastasecoot, B."
ABS,ABS220Y1,Ryan DeCaire,"DeCaire, R."
ABS,ABS240Y1,Melanie Jeffrey,"Jeffrey, M."
ABS,ABS300Y1,Lee Maracle,"Maracle, L."
ABS,ABS301Y1,Alex McKay,"McKay, A."
ABS,ABS331H1,Amos Key,"Key, A."
ABS,ABS350H1,Julie Bull,"Bull, J."
ABS,ABS354H1,Rauna Kuokkanen,"Kuokkanen, R."
ABS,ABS360Y1,Amos Key,"Key, A."
ABS,ABS460H1,Jill Carter,"Carter, J."
INS,INS302H1,Lee Maracle,"Maracle, L."
INS,INS201Y1,Safia Gahayr,"Gahayr, S."
INS,INS201Y1,Verne Ross,"Ross, V."
ABS,ABS201Y1,Jill Carter,"Carter, J."
ABS,ABS250H1,Ryan DeCaire,"DeCaire, R."
ABS,ABS261H1,Brenda Wastasecoot,"Wastasecoot, B."
ABS,ABS353H1,Rauna Kuokkanen,"Kuokkanen, R."
ABS,ABS390H1,Melanie Jeffrey,"Jeffrey, M."
ABS,ABS403H1,Brenda Wastasecoot,"Wastasecoot, B."
JFP,JFP450H1,David Burman,"Burman, D."
ABS,ABS201Y1,Angela Mashford-Pringle,"Mashford-Pringle, A."
ABS,ABS302H1,Lee Maracle,"Maracle, L."
